epoch,train_loss,train_acc,val_loss,val_acc,val_bal_acc,lr
1,0.22861557131378274,0.5166315789473684,0.0549805847595647,0.1708542713567839,0.5159923020026812,0.0005
2,0.07417991471133734,0.608,0.07343441828261668,0.157035175879397,0.5281963449920106,0.0005
3,0.037041008118932184,0.6614736842105263,0.041210246824626644,0.2663316582914573,0.5653848341351513,0.0005
4,0.0225099721003912,0.7006315789473684,0.01799197801561083,0.4899497487437186,0.7539613014264717,0.0005
5,0.005829647043621854,0.7793684210526316,0.017811668014163198,0.478643216080402,0.7419735318151802,0.0005
6,0.005478572113733543,0.7928421052631579,0.018922136776820853,0.5590452261306532,0.7800890358365742,0.00025
7,0.003170475081491627,0.8151578947368421,0.013589859283154822,0.5138190954773869,0.7613446495025442,0.00025
8,0.019474744983801716,0.791578947368421,0.04483195829518776,0.2851758793969849,0.5860309009302817,0.00025
9,0.02527435268255833,0.7052631578947368,0.022928626503533306,0.38567839195979897,0.6959487064363225,0.00025
10,0.008777039227664079,0.7608421052631579,0.01843383538516033,0.5489949748743719,0.7388154863003237,0.00025
11,0.0033516625461511708,0.8037894736842105,0.01588585013911627,0.5753768844221105,0.7373795770083773,0.000125
